전철역코드,전철역명,호선,역간거리
1,연천,01호선,0
2,전곡,01호선,8.7
3,청산,01호선,3.3
4,소요산,01호선,5.8
5,동두천,01호선,2.4
6,보산,01호선,1.6
7,동두천중앙,01호선,1.4
8,지행,01호선,1
9,덕정,01호선,5.6
10,덕계,01호선,2.9
11,양주,01호선,5.3
12,녹양,01호선,1.6
13,가능,01호선,1.3
14,의정부,01호선,1.2
15,회룡,01호선,1.6
16,망월사,01호선,1.4
17,도봉산,01호선,2.3
18,도봉,01호선,1.2
19,방학,01호선,1.3
20,창동,01호선,1.7
21,녹천,01호선,1
22,월계,01호선,1.4
23,광운대,01호선,1.1
24,석계,01호선,1.1
25,신이문,01호선,1.4
26,외대앞,01호선,0.8
27,회기,01호선,0.8
28,청량리,01호선,1
29,제기동,01호선,1
30,신설동,01호선,0.9
31,동묘앞,01호선,0.6
32,동대문,01호선,0.6
33,종로5가,01호선,0.8
34,종로3가,01호선,0.9
35,종각,01호선,0.8
36,시청,01호선,1
37,서울역,01호선,1.1
38,남영,01호선,1.7
39,용산,01호선,1.5
40,노량진,01호선,2.6
41,대방,01호선,1.5
42,신길,01호선,0.8
43,영등포,01호선,1
44,신도림,01호선,1.5
45,구로,01호선,1.1
46,가산디지털단지,01호선,2.4
47,독산,01호선,2
48,금천구청,01호선,1.2
1201,광명,01호선,1
50,석수,01호선,2.3
51,관악,01호선,1.9
52,안양,01호선,2.4
53,명학,01호선,2.2
54,금정,01호선,1.4
55,군포,01호선,2.2
56,당정,01호선,1.6
57,의왕,01호선,2.6
58,성균관대,01호선,2.9
59,화서,01호선,2.6
60,수원,01호선,2.1
61,세류,01호선,2.9
62,병점,01호선,4.3
1202,서동탄,01호선,2.2
64,세마,01호선,2.4
65,오산대,01호선,2.7
66,오산,01호선,2.7
67,진위,01호선,4
68,송탄,01호선,3.8
69,서정리,01호선,2.2
70,평택지제,01호선,4.8
71,평택,01호선,3.7
72,성환,01호선,9.4
73,직산,01호선,5.4
74,두정,01호선,3.8
75,천안,01호선,3
76,봉명,01호선,1.5
77,쌍용,01호선,1.6
78,아산,01호선,1.5
79,탕정,01호선,1.8
80,배방,01호선,3.1
81,온양온천,01호선,4.9
82,신창,01호선,5.1
1301,구로,11호선,0
1302,구일,11호선,2.7
1303,개봉,11호선,1
1304,오류동,11호선,1.3
1305,온수,11호선,1.9
1306,역곡,11호선,1.3
1307,소사,11호선,1.5
1308,부천,11호선,1.1
1309,중동,11호선,1.7
1310,송내,11호선,1
1311,부개,11호선,1.2
1312,부평,11호선,1.5
1313,백운,11호선,1.7
1314,동암,11호선,1.5
1315,간석,11호선,1.2
1316,주안,11호선,1.2
1317,도화,11호선,1
1318,제물포,11호선,1
1319,도원,11호선,1.4
1320,동인천,11호선,1.2
1321,인천,11호선,1.9
107,성수,02호선,0
108,건대입구,02호선,1
109,구의,02호선,1.6
110,강변,02호선,0.9
111,잠실나루,02호선,1.6
112,잠실,02호선,1
113,잠실새내,02호선,1.2
114,종합운동장,02호선,1.2
115,삼성,02호선,2.3
116,선릉,02호선,1.3
117,역삼,02호선,1.3
118,강남,02호선,0.7
119,교대,02호선,1.4
120,서초,02호선,0.7
121,방배,02호선,1.6
122,사당,02호선,1.7
123,낙성대,02호선,2
124,서울대입구,02호선,1
125,봉천,02호선,1.1
126,신림,02호선,1
127,신대방,02호선,1.4
128,구로디지털단지,02호선,1.1
129,대림,02호선,1.1
130,신도림,02호선,1.8
131,문래,02호선,0.8
132,영등포구청,02호선,1.8
133,당산,02호선,1.1
134,합정,02호선,2.2
135,홍대입구,02호선,2
136,신촌,02호선,1.3
137,이대,02호선,0.6
138,아현,02호선,0.9
139,충정로,02호선,0.8
140,시청,02호선,1.1
141,을지로입구,02호선,0.8
142,을지로3가,02호선,0.8
143,을지로4가,02호선,0.6
144,동대문역사문화공원,02호선,1
145,신당,02호선,0.9
146,상왕십리,02호선,0.9
147,왕십리,02호선,0.8
148,한양대,02호선,0.9
149,뚝섬,02호선,2.1
154,대화,03호선,0
155,주엽,03호선,1.4
156,정발산,03호선,1.6
157,마두,03호선,0.9
158,백석,03호선,1.4
159,대곡,03호선,2.5
160,화정,03호선,2.1
161,원당,03호선,2.6
162,원흥,03호선,2.8
163,삼송,03호선,2.2
164,지축,03호선,1.7
165,구파발,03호선,1.5
166,연신내,03호선,2
167,불광,03호선,1.3
168,녹번,03호선,1.1
169,홍제,03호선,1.6
170,무악재,03호선,0.9
171,독립문,03호선,1.1
172,경복궁,03호선,1.6
173,안국,03호선,1.1
174,종로3가,03호선,1
175,을지로3가,03호선,0.6
176,충무로,03호선,0.7
177,동대입구,03호선,0.9
178,약수,03호선,0.7
179,금호,03호선,0.8
180,옥수,03호선,0.8
181,압구정,03호선,2.1
182,신사,03호선,1.5
183,잠원,03호선,0.9
184,고속터미널,03호선,1.2
185,교대,03호선,1.6
186,남부터미널,03호선,0.9
187,양재,03호선,1.8
188,매봉,03호선,1.2
189,도곡,03호선,0.8
190,대치,03호선,0.8
191,학여울,03호선,0.8
192,대청,03호선,0.9
193,일원,03호선,1.2
194,수서,03호선,1.8
195,가락시장,03호선,1.4
196,경찰병원,03호선,0.8
197,오금,03호선,0.8
198,진접,04호선,0
199,오남,04호선,2.1
200,별내별가람,04호선,7.7
201,불암산,04호선,4.4
202,상계,04호선,1.2
203,노원,04호선,1
204,창동,04호선,1.4
205,쌍문,04호선,1.3
206,수유,04호선,1.5
207,미아,04호선,1.4
208,미아사거리,04호선,1.5
209,길음,04호선,1.3
210,성신여대입구,04호선,1.4
211,한성대입구,04호선,1
212,혜화,04호선,0.9
213,동대문,04호선,1.5
214,동대문역사문화공원,04호선,0.7
215,충무로,04호선,1.3
216,명동,04호선,0.7
217,회현,04호선,0.7
218,서울역,04호선,0.9
219,숙대입구,04호선,1
220,삼각지,04호선,1.2
221,신용산,04호선,0.7
222,이촌,04호선,1.3
223,동작,04호선,2.7
224,총신대입구,04호선,1.8
225,사당,04호선,1.1
226,남태령,04호선,1.6
227,선바위,04호선,2
228,경마공원,04호선,1
229,대공원,04호선,0.9
230,과천,04호선,1
231,정부과천청사,04호선,1
232,인덕원,04호선,3
233,평촌,04호선,1.6
234,범계,04호선,1.3
235,금정,04호선,2.6
236,산본,04호선,2.3
237,수리산,04호선,1.1
238,대야미,04호선,2.6
239,반월,04호선,2
240,상록수,04호선,3.7
241,한대앞,04호선,1.5
242,중앙,04호선,1.6
243,고잔,04호선,1.4
244,초지,04호선,1.5
245,안산,04호선,1.8
246,신길온천,04호선,2.2
247,정왕,04호선,2.9
248,오이도,04호선,1.4
249,방화,05호선,0
250,개화산,05호선,0.9
251,김포공항,05호선,1.5
252,송정,05호선,1.1
253,마곡,05호선,1.6
254,발산,05호선,1.1
255,우장산,05호선,1.1
256,화곡,05호선,0.9
257,까치산,05호선,1.9
258,신정,05호선,1.4
259,목동,05호선,2
260,오목교,05호선,0.9
261,양평,05호선,1.1
262,영등포구청,05호선,0.8
263,영등포시장,05호선,0.9
264,신길,05호선,1.3
265,여의도,05호선,0.8
266,여의나루,05호선,0.9
267,마포,05호선,1.8
268,공덕,05호선,0.7
269,애오개,05호선,1.3
270,충정로,05호선,0.9
271,서대문,05호선,0.7
272,광화문,05호선,1.1
273,종로3가,05호선,2
274,을지로4가,05호선,1
275,동대문역사문화공원,05호선,1
276,청구,05호선,0.9
277,신금호,05호선,1.5
278,행당,05호선,0.8
279,왕십리,05호선,0.8
280,마장,05호선,1
281,답십리,05호선,1
282,장한평,05호선,1.4
283,군자,05호선,1.5
284,아차산,05호선,1
285,광나루,05호선,1.5
286,천호,05호선,2
287,강동,05호선,0.8
288,둔촌동,05호선,1.2
289,올림픽공원,05호선,1.4
290,방이,05호선,0.9
291,오금,05호선,0.9
292,개롱,05호선,0.9
293,거여,05호선,0.9
294,마천,05호선,0.9
1400,강동,51호선,0
1401,길동,51호선,0.9
1402,굽은다리,51호선,0.8
1403,명일,51호선,1.5
1404,고덕,51호선,1.5
1405,상일동,51호선,1.3
1406,강일,51호선,0.7
1407,미사,51호선,1.7
1408,하남풍산,51호선,2.1
1409,하남시청,51호선,1.7
1410,하남검단산,51호선,1.7
305,신내,06호선,0
306,봉화산,06호선,1.3
307,화랑대,06호선,0.7
308,태릉입구,06호선,0.8
309,석계,06호선,0.8
310,돌곶이,06호선,1
311,상월곡,06호선,0.8
312,월곡,06호선,0.8
313,고려대,06호선,1.4
314,안암,06호선,1
315,보문,06호선,0.8
316,창신,06호선,1.2
317,동묘앞,06호선,0.6
318,신당,06호선,0.6
319,청구,06호선,0.7
320,약수,06호선,1.2
321,버티고개,06호선,0.8
322,한강진,06호선,1
323,이태원,06호선,1
324,녹사평,06호선,0.7
325,삼각지,06호선,1.1
326,효창공원앞,06호선,1.2
327,공덕,06호선,0.9
328,대흥,06호선,1
329,광흥창,06호선,1
330,상수,06호선,0.9
331,합정,06호선,0.9
332,망원,06호선,0.8
333,마포구청,06호선,1
334,월드컵경기장,06호선,0.8
335,디지털미디어시티,06호선,0.8
336,증산,06호선,1.1
337,새절,06호선,0.9
338,응암,06호선,0.9
339,역촌,06호선,1
340,불광,06호선,0.8
341,독바위,06호선,0.9
342,연신내,06호선,1.4
343,구산,06호선,1
344,장암,07호선,0
345,도봉산,07호선,1.4
346,수락산,07호선,1.6
347,마들,07호선,1.4
348,노원,07호선,1.2
349,중계,07호선,1.1
350,하계,07호선,1
351,공릉,07호선,1.3
352,태릉입구,07호선,1.2
353,먹골,07호선,0.9
354,중화,07호선,0.9
355,상봉,07호선,1
356,면목,07호선,0.8
357,사가정,07호선,0.9
358,용마산,07호선,0.8
359,중곡,07호선,0.9
360,군자,07호선,0.9
361,어린이대공원,07호선,1.1
362,건대입구,07호선,1.3
363,자양,07호선,1
364,청담,07호선,2
365,강남구청,07호선,1.5
366,학동,07호선,0.9
367,논현,07호선,1
368,반포,07호선,0.9
369,고속터미널,07호선,0.9
370,내방,07호선,2.2
371,이수,07호선,1.8
372,남성,07호선,1
373,숭실대입구,07호선,2.1
374,상도,07호선,1.5
375,장승배기,07호선,0.9
376,신대방삼거리,07호선,1.2
377,보라매,07호선,0.8
378,신풍,07호선,1.1
379,대림,07호선,1.7
380,남구로,07호선,1.1
381,가산디지털단지,07호선,0.8
382,철산,07호선,2
383,광명사거리,07호선,1.3
384,천왕,07호선,1.7
385,온수,07호선,1.8
386,까치울,07호선,2.2
387,부천종합운동장,07호선,1.2
388,춘의,07호선,0.9
389,신중동,07호선,1.5
390,부천시청,07호선,1.1
391,상동,07호선,1.1
392,삼산체육관,07호선,1.1
393,굴포천,07호선,0.9
394,부평구청,07호선,0.9
395,산곡,07호선,1.6
396,석남,07호선,2.6
397,별내,08호선,0
398,다산,08호선,4.1
399,동구릉,08호선,1.8
400,구리,08호선,1.2
401,장자호수공원,08호선,2.7
402,암사역사공원,08호선,3.5
403,암사,08호선,1.1
404,천호,08호선,1.3
405,강동구청,08호선,0.9
406,몽촌토성,08호선,0.9
407,잠실,08호선,0.8
408,석촌,08호선,1
409,송파,08호선,1.2
410,가락시장,08호선,1.4
411,문정,08호선,1.3
412,장지,08호선,0.9
413,복정,08호선,0.9
414,남위례,08호선,1.4
415,산성,08호선,1.2
416,남한산성입구,08호선,1.3
417,단대오거리,08호선,0.8
418,신흥,08호선,0.8
419,수진,08호선,0.9
420,모란,08호선,1
421,개화,09호선,0
422,김포공항,09호선,3.6
423,공항시장,09호선,0.8
424,신방화,09호선,0.8
425,마곡나루,09호선,0.9
426,양천향교,09호선,1.9
427,가양,09호선,1.3
428,증미,09호선,0.7
429,등촌,09호선,1
430,염창,09호선,1.1
431,신목동,09호선,0.9
432,선유도,09호선,1.2
433,당산,09호선,1
434,국회의사당,09호선,1.8
435,여의도,09호선,0.9
436,샛강,09호선,0.8
437,노량진,09호선,1.8
438,노들,09호선,1.4
439,흑석,09호선,2.1
440,동작,09호선,1.4
441,구반포,09호선,1
442,신반포,09호선,0.7
443,고속터미널,09호선,0.8
444,사평,09호선,0.8
445,신논현,09호선,0.9
446,언주,09호선,0.9
447,선정릉,09호선,0.9
448,삼성중앙,09호선,0.8
449,봉은사,09호선,0.8
450,종합운동장,09호선,1.4
451,삼전,09호선,1.4
452,석촌고분,09호선,1
453,석촌,09호선,1
454,송파나루,09호선,0.8
455,한성백제,09호선,0.8
456,올림픽공원,09호선,1.4
457,둔촌오륜,09호선,1
458,중앙보훈병원,09호선,1.7
1001,성수,21호선,0
1002,용답,21호선,2.3
1003,신답,21호선,1
1004,용두,21호선,0.9
1005,신설동,21호선,1.2
