전철역코드,전철역명,호선,역간거리
150,서울역,01호선,0
151,시청,01호선,1.1
152,종각,01호선,1
153,종로3가,01호선,0.8
154,종로5가,01호선,0.9
155,동대문,01호선,0.8
156,신설동,01호선,0.7
157,제기동,01호선,0.9
158,청량리,01호선,1
159,동묘앞,01호선,0.7
200,까치산,02호선,1.4
201,시청,02호선,0
202,을지로입구,02호선,0.7
203,을지로3가,02호선,0.8
204,을지로4가,02호선,0.6
205,동대문역사문화공원,02호선,1
206,신당,02호선,0.9
207,상왕십리,02호선,0.9
208,왕십리,02호선,0.8
209,한양대,02호선,1
210,뚝섬,02호선,1.1
211,성수,02호선,0.8
212,건대입구,02호선,1.2
213,구의,02호선,1.6
214,강변,02호선,0.9
215,잠실나루,02호선,1.8
216,잠실,02호선,1
217,잠실새내,02호선,1.2
218,종합운동장,02호선,1.2
219,삼성,02호선,1
220,선릉,02호선,1.3
221,역삼,02호선,1.2
222,강남,02호선,0.8
223,교대,02호선,1.2
224,서초,02호선,0.7
225,방배,02호선,1.7
226,사당,02호선,1.6
227,낙성대,02호선,1.7
228,서울대입구,02호선,1
229,봉천,02호선,1
230,신림,02호선,1
231,신대방,02호선,1.1
232,구로디지털단지,02호선,1.8
233,대림,02호선,1.1
234,신도림,02호선,1.1
235,문래,02호선,1.8
236,영등포구청,02호선,1.2
237,당산,02호선,0.9
238,합정,02호선,1.1
239,홍대입구,02호선,2
240,신촌,02호선,1.1
241,이대,02호선,1.3
242,아현,02호선,0.8
243,충정로,02호선,0.9
244,용답,02호선,0.8
245,신답,02호선,1.1
246,신설동,02호선,2.3
247,도림천,02호선,1
248,양천구청,02호선,1.7
249,신정네거리,02호선,1.9
250,용두,02호선,0.9
309,지축,03호선,0
310,구파발,03호선,1.5
311,연신내,03호선,2
312,불광,03호선,1.3
313,녹번,03호선,1.1
314,홍제,03호선,1.6
315,무악재,03호선,0.9
316,독립문,03호선,1.1
317,경복궁,03호선,1.6
318,안국,03호선,1.1
319,종로3가,03호선,1
320,을지로3가,03호선,0.6
321,충무로,03호선,0.7
322,동대입구,03호선,0.9
323,약수,03호선,0.7
324,금호,03호선,0.8
325,옥수,03호선,0.8
326,압구정,03호선,2.1
327,신사,03호선,1.5
328,잠원,03호선,0.9
329,고속터미널,03호선,1.2
330,교대,03호선,1.6
331,남부터미널,03호선,0.9
332,양재,03호선,1.8
333,매봉,03호선,1.2
334,도곡,03호선,0.8
335,대치,03호선,0.8
336,학여울,03호선,0.8
337,대청,03호선,0.9
338,일원,03호선,1.2
339,수서,03호선,1.8
340,가락시장,03호선,1.4
341,경찰병원,03호선,0.8
342,오금,03호선,0.8
405,진접,04호선,1
406,오남,04호선,1
408,별내별가람,04호선,1
409,불암산,04호선,1
410,상계,04호선,1.2
411,노원,04호선,1
412,창동,04호선,1.4
413,쌍문,04호선,1.3
414,수유,04호선,1.5
415,미아,04호선,1.4
416,미아사거리,04호선,1.5
417,길음,04호선,1.3
418,성신여대입구,04호선,1.4
419,한성대입구,04호선,1
420,혜화,04호선,0.9
421,동대문,04호선,1.5
422,동대문역사문화공원,04호선,0.7
423,충무로,04호선,1.3
424,명동,04호선,0.7
425,회현,04호선,0.7
426,서울역,04호선,0.9
427,숙대입구,04호선,1
428,삼각지,04호선,1.2
429,신용산,04호선,0.7
430,이촌,04호선,1.3
431,동작,04호선,2.7
432,총신대입구,04호선,1.8
433,사당,04호선,1.1
434,남태령,04호선,1.6
1002,남영,01호선,1.5
1003,용산,01호선,1.5
1004,노량진,01호선,2.6
1005,대방,01호선,1.5
1006,영등포,01호선,1
1007,신도림,01호선,1.5
1015,회기,01호선,1.4
1016,외대앞,01호선,0.8
1017,신이문,01호선,0.8
1018,석계,01호선,1.4
1019,광운대,01호선,1.1
1020,월계,01호선,1.1
1021,녹천,01호선,1.4
1022,창동,01호선,1
1032,신길,01호선,0.8
1401,봉명,01호선,1.3
1402,쌍용,01호선,1.6
1403,아산,01호선,1.6
1404,탕정,01호선,1.8
1405,배방,01호선,3.1
1407,온양온천,01호선,4.9
1408,신창,01호선,5.1
1450,선바위,04호선,1
1451,경마공원,04호선,1
1452,대공원,04호선,1
1453,과천,04호선,1
1454,정부과천청사,04호선,1
1455,인덕원,04호선,1
1456,평촌,04호선,1
1457,범계,04호선,1
1458,금정,04호선,1
1701,구로,01호선,1.1
1702,가산디지털단지,01호선,2.4
1703,금천구청,01호선,1.2
1704,석수,01호선,1.9
1705,관악,01호선,1.9
1706,안양,01호선,2.4
1707,명학,01호선,2.2
1708,금정,01호선,1.4
1709,군포,01호선,2.2
1710,의왕,01호선,2.6
1711,성균관대,01호선,2.9
1712,화서,01호선,2.6
1713,수원,01호선,2.1
1714,독산,01호선,2
1715,세류,01호선,2.9
1716,병점,01호선,4.3
1717,세마,01호선,2.4
1718,오산대,01호선,2.7
1719,오산,01호선,2.7
1720,진위,01호선,4
1721,송탄,01호선,3.8
1722,서정리,01호선,2.2
1723,평택지제,01호선,4.8
1724,평택,01호선,3.7
1725,성환,01호선,9.4
1726,직산,01호선,5.4
1727,두정,01호선,3.8
1728,천안,01호선,3.1
1729,당정,01호선,1.6
1749,서동탄,01호선,2.2
1750,광명,01호선,4.7
1751,산본,04호선,1
1752,대야미,04호선,1
1753,반월,04호선,1
1754,상록수,04호선,1
1755,한대앞,04호선,1
1756,중앙,04호선,1
1757,고잔,04호선,1
1758,초지,04호선,1
1759,안산,04호선,1
1760,신길온천,04호선,1
1761,정왕,04호선,1
1762,오이도,04호선,1
1763,수리산,04호선,1
1801,개봉,01호선,1
1802,오류동,01호선,1.3
1803,역곡,01호선,1.3
1804,부천,01호선,1.1
1805,송내,01호선,1
1806,부평,01호선,1.5
1807,백운,01호선,1.7
1808,동암,01호선,1.5
1809,주안,01호선,1.2
1810,제물포,01호선,1
1811,동인천,01호선,1.2
1812,인천,01호선,1.9
1813,구일,01호선,1.4
1814,소사,01호선,1.5
1815,부개,01호선,1.2
1816,간석,01호선,1.2
1817,도원,01호선,1.4
1821,온수,01호선,1.9
1822,중동,01호선,1.7
1823,도화,01호선,1
1901,방학,01호선,1.7
1902,도봉,01호선,1.3
1903,도봉산,01호선,1.2
1904,망월사,01호선,2.3
1905,회룡,01호선,1.4
1906,의정부,01호선,1.6
1907,가능,01호선,1.2
1908,녹양,01호선,1.3
1909,양주,01호선,1.6
1910,덕계,01호선,5.3
1911,덕정,01호선,2.9
1912,지행,01호선,5.6
1913,동두천중앙,01호선,1
1914,보산,01호선,1.4
1915,동두천,01호선,1.6
1916,소요산,01호선,2.4
1917,청산,01호선,5.8
1918,전곡,01호선,3.3
1919,연천,01호선,8.7
1948,원흥,03호선,1
1950,삼송,03호선,1
1951,원당,03호선,1
1952,화정,03호선,1
1953,대곡,03호선,1
1954,백석,03호선,1
1955,마두,03호선,1
1956,정발산,03호선,1
1957,주엽,03호선,1
1958,대화,03호선,1
2511,방화,05호선,0
2512,개화산,05호선,0.9
2513,김포공항,05호선,1.2
2514,송정,05호선,1.2
2515,마곡,05호선,1.1
2516,발산,05호선,1.2
2517,우장산,05호선,1.1
2518,화곡,05호선,1
2519,까치산,05호선,1.2
2520,신정,05호선,1.3
2521,목동,05호선,0.8
2522,오목교,05호선,0.9
2523,양평,05호선,1
2524,영등포구청,05호선,0.8
2525,영등포시장,05호선,0.9
2526,신길,05호선,1.1
2527,여의도,05호선,1
2528,여의나루,05호선,1
2529,마포,05호선,1.8
2530,공덕,05호선,0.8
2531,애오개,05호선,1.1
2532,충정로,05호선,0.9
2533,서대문,05호선,0.7
2534,광화문,05호선,1.1
2535,종로3가,05호선,1.2
2536,을지로4가,05호선,1
2537,동대문역사문화공원,05호선,0.9
2538,청구,05호선,0.9
2539,신금호,05호선,0.9
2540,행당,05호선,0.9
2541,왕십리,05호선,0.9
2542,마장,05호선,0.7
2543,답십리,05호선,1
2544,장한평,05호선,1.2
2545,군자,05호선,1.5
2546,아차산,05호선,1
2547,광나루,05호선,1.5
2548,천호,05호선,2
2549,강동,05호선,0.8
2550,길동,05호선,0.9
2551,굽은다리,05호선,0.8
2552,명일,05호선,0.8
2553,고덕,05호선,1.2
2554,상일동,05호선,1.1
2555,둔촌동,05호선,1.2
2556,올림픽공원,05호선,1.4
2557,방이,05호선,0.8
2558,오금,05호선,0.9
2559,개롱,05호선,0.9
2560,거여,05호선,0.9
2561,마천,05호선,0.9
2562,강일,05호선,0.8
2563,미사,05호선,1.7
2564,하남풍산,05호선,2.1
2565,하남시청,05호선,1.3
2566,하남검단산,05호선,1.6
2611,응암,06호선,0
2612,역촌,06호선,1.1
2613,불광,06호선,0.8
2614,독바위,06호선,0.9
2615,연신내,06호선,1.4
2616,구산,06호선,0.9
2617,새절,06호선,0.9
2618,증산,06호선,0.9
2619,디지털미디어시티,06호선,1.1
