연번,호선,역명,역간거리(km)
1,1,서울역,0
2,1,시청,1.1
3,1,종각,1
4,1,종로3가,0.8
5,1,종로5가,0.9
6,1,동대문,0.8
7,1,동묘앞,0.6
8,1,신설동,0.7
9,1,제기동,0.9
10,1,청량리,1
11,2,시청,0
12,2,을지로입구,0.7
13,2,을지로3가,0.8
14,2,을지로4가,0.6
15,2,동대문역사문화공원,1
16,2,신당,0.9
17,2,상왕십리,0.9
18,2,왕십리,0.8
19,2,한양대,1
20,2,뚝섬,1.1
21,2,성수,0.8
22,2,건대입구,1.2
23,2,구의,1.6
24,2,강변,0.9
25,2,잠실나루,1.8
26,2,잠실,1
27,2,잠실새내,1.2
28,2,종합운동장,1.2
29,2,삼성,1
30,2,선릉,1.3
31,2,역삼,1.2
32,2,강남,0.8
33,2,교대,1.2
34,2,서초,0.7
35,2,방배,1.7
36,2,사당,1.6
37,2,낙성대,1.7
38,2,서울대입구,1
39,2,봉천,1
40,2,신림,1.1
41,2,신대방,1.8
42,2,구로디지털단지,1.1
43,2,대림,1.1
44,2,신도림,1.8
45,2,문래,1.2
46,2,영등포구청,0.9
47,2,당산,1.1
48,2,합정,2
49,2,홍대입구,1.1
50,2,신촌,1.3
51,2,이대,0.8
52,2,아현,0.9
53,2,충정로,0.8
54,2,시청,1.1
55,2,용답,2.3
56,2,신답,1
57,2,용두,0.9
58,2,신설동,1.2
59,2,도림천,1
60,2,양천구청,1.7
61,2,신정네거리,1.9
62,2,까치산,1.4
63,3,지축,0
64,3,구파발,1.5
65,3,연신내,2
66,3,불광,1.3
67,3,녹번,1.1
68,3,홍제,1.6
69,3,무악재,0.9
70,3,독립문,1.1
71,3,경복궁,1.6
72,3,안국,1.1
73,3,종로3가,1
74,3,을지로3가,0.6
75,3,충무로,0.7
76,3,동대입구,0.9
77,3,약수,0.7
78,3,금호,0.8
79,3,옥수,0.8
80,3,압구정,2.1
81,3,신사,1.5
82,3,잠원,0.9
83,3,고속터미널,1.2
84,3,교대,1.6
85,3,남부터미널,0.9
86,3,양재,1.8
87,3,매봉,1.2
88,3,도곡,0.8
89,3,대치,0.8
90,3,학여울,0.8
91,3,대청,0.9
92,3,일원,1.2
93,3,수서,1.8
94,3,가락시장,1.4
95,3,경찰병원,0.8
96,3,오금,0.8
97,4,당고개,0
98,4,상계,1.2
99,4,노원,1
100,4,창동,1.4
101,4,쌍문,1.3
102,4,수유,1.5
103,4,미아,1.4
104,4,미아사거리 ,1.5
105,4,길음,1.3
106,4,성신여대입구,1.4
107,4,한성대입구,1
108,4,혜화,0.9
109,4,동대문,1.5
110,4,동대문역사문화공원,0.7
111,4,충무로,1.3
112,4,명동,0.7
113,4,회현,0.7
114,4,서울역,0.9
115,4,숙대입구,1
116,4,삼각지,1.2
117,4,신용산,0.7
118,4,이촌,1.3
119,4,동작,2.7
120,4,총신대입구,1.8
121,4,사당,1.1
122,4,남태령,1.6
123,5,방화,0
124,5,개화산,0.9
125,5,김포공항,1.2
126,5,송정,1.2
127,5,마곡,1.1
128,5,발산,1.2
129,5,우장산,1.1
130,5,화곡,1
131,5,까치산,1.2
132,5,신정,1.3
133,5,목동,0.8
134,5,오목교,0.9
135,5,양평,1
136,5,영등포구청,0.8
137,5,영등포시장,0.9
138,5,신길,1.1
139,5,여의도,1
140,5,여의나루,1
141,5,마포,1.8
142,5,공덕,0.8
143,5,애오개,1.1
144,5,충정로,0.9
145,5,서대문,0.7
146,5,광화문,1.1
147,5,종로3가,1.2
148,5,을지로4가,1
149,5,동대문역사문화공원,0.9
150,5,청구,0.9
151,5,신금호,0.9
152,5,행당,0.9
153,5,왕십리,0.9
154,5,마장,0.7
155,5,답십리,1
156,5,장한평,1.2
157,5,군자,1.5
158,5,아차산,1
159,5,광나루,1.5
160,5,천호,2
161,5,강동,0.8
162,5,길동,0.9
163,5,굽은다리,0.8
164,5,명일,0.8
165,5,고덕,1.2
166,5,상일동,1.1
167,5,강일,0.8
168,5,미사,1.7
169,5,하남풍산,2.1
170,5,하남시청,1.3
171,5,하남검단산,1.6
172,5,둔촌동,1.2
173,5,올림픽공원,1.4
174,5,방이,0.8
175,5,오금,0.9
176,5,개롱,0.9
177,5,거여,0.9
178,5,마천,0.9
179,6,응암,0
180,6,역촌,1.1
181,6,불광,0.8
182,6,독바위,0.9
183,6,연신내,1.4
184,6,구산,0.9
185,6,응암,1.5
186,6,새절,0.9
187,6,증산,0.9
188,6,디지털미디어시티,1.1
189,6,월드컵경기장,0.8
190,6,마포구청,0.8
191,6,망원,1
192,6,합정,0.8
193,6,상수,0.8
194,6,광흥창,0.9
195,6,대흥,1
196,6,공덕,0.9
197,6,효창공원앞,0.9
198,6,삼각지,1.2
199,6,녹사평,1.1
200,6,이태원,0.8
201,6,한강진,1
202,6,버티고개,1
203,6,약수,0.7
204,6,청구,0.8
205,6,신당,0.7
206,6,동묘앞,0.6
207,6,창신,0.9
208,6,보문,0.8
209,6,안암,0.9
210,6,고려대,0.8
211,6,월곡,1.4
212,6,상월곡,0.8
213,6,돌곶이,0.8
214,6,석계,1
215,6,태릉입구,0.8
216,6,화랑대,0.9
217,6,봉화산,0.7
218,6,신내역,1.3
219,7,장암,0
220,7,도봉산,1.4
221,7,수락산,1.6
222,7,마들,1.4
223,7,노원,1.2
224,7,중계,1.1
225,7,하계,1
226,7,공릉,1.3
227,7,태릉입구,0.8
228,7,먹골,0.9
229,7,중화,0.9
230,7,상봉,1
231,7,면목,0.8
232,7,사가정,0.9
233,7,용마산,0.8
234,7,중곡,0.9
235,7,군자,1.1
236,7,어린이대공원,1.1
237,7,건대입구,0.8
238,7,자양,1
239,7,청담,2
240,7,강남구청,1.1
241,7,학동,0.9
242,7,논현,1
243,7,반포,0.9
244,7,고속터미널,0.9
245,7,내방,2.2
246,7,이수,1
247,7,남성,1
248,7,숭실대입구,2
249,7,상도,0.9
250,7,장승배기,0.9
251,7,신대방삼거리,1.2
252,7,보라매,0.8
253,7,신풍,0.9
254,7,대림,1.4
255,7,남구로,1.1
256,7,가산디지털단지,0.8
257,7,철산,1.4
258,7,광명사거리,1.3
259,7,천왕,1.7
260,7,온수,1.5
261,8,암사역사공원,0
262,8,암사,1.1
263,8,천호,1.3
264,8,강동구청,0.9
265,8,몽촌토성,1.6
266,8,잠실,0.8
267,8,석촌,1.2
268,8,송파,0.9
269,8,가락시장,0.8
